,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,26-05-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,25-05-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,6.00,Metric Tonnes,20-05-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,11.00,Metric Tonnes,10-04-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,07-04-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,13.00,Metric Tonnes,05-04-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,15.00,Metric Tonnes,03-04-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,5.00,Metric Tonnes,27-03-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,08-03-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,22-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,15-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,10-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,09-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,08-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,03-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,01-02-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,7.00,Metric Tonnes,30-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,8.00,Metric Tonnes,28-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,27-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,25-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,6.00,Metric Tonnes,20-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,18-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.00,Metric Tonnes,14-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,13-01-2023
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,3.00,Metric Tonnes,12-01-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,13.00,Metric Tonnes,28-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,15.00,Metric Tonnes,27-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,19.00,Metric Tonnes,22-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,13.00,Metric Tonnes,21-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,9.00,Metric Tonnes,20-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,25.00,Metric Tonnes,19-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,2.00,Metric Tonnes,18-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,23.00,Metric Tonnes,15-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,27.00,Metric Tonnes,07-12-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,44.00,Metric Tonnes,28-11-2023
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,25.00,Metric Tonnes,24-11-2023
